cli,psi,task_complexity_sovcm,session_minutes,vsi,fatigue,engagement,arm_id,font_size_pt,line_spacing,letter_spacing_px,reward
0.8907,0.6914,0.791,42,0.1697,0.8721,0.7922,1,16,1.5,2.0,0.5696
0.2839,0.691,0.2115,37,0.6577,0.2406,0.2316,3,18,1.6,2.5,0.2545
0.7164,0.2023,0.512,36,0.5393,0.6558,0.268,1,16,1.5,2.0,0.9313
0.3701,0.8482,0.4664,22,0.5156,0.2443,0.7122,1,16,1.5,2.0,1.0
0.8861,0.6039,0.5669,12,0.2427,0.1622,0.7845,1,16,1.5,2.0,1.0
0.2722,0.8947,0.5695,39,0.8907,0.8802,0.5544,3,18,1.6,2.5,0.566
0.6406,0.2758,0.4333,21,0.1878,0.4672,0.3526,3,18,1.6,2.5,0.3138
0.2515,0.8424,0.675,33,0.3607,0.1346,0.1986,0,12,1.2,1.0,0.6322
0.3636,0.5165,0.3745,19,0.8665,0.7999,0.1107,1,16,1.5,2.0,0.5354
0.2137,0.7315,0.7016,17,0.6385,0.7812,0.1815,2,20,1.8,3.5,0.6827
0.1959,0.1338,0.5832,12,0.1367,0.1505,0.8838,1,16,1.5,2.0,0.7007
0.4263,0.3132,0.7612,13,0.5346,0.4822,0.6537,0,12,1.2,1.0,0.6157
0.1003,0.1132,0.4264,4,0.8124,0.3231,0.7787,1,16,1.5,2.0,0.7092
0.1619,0.6961,0.6576,11,0.8944,0.1644,0.8073,0,12,1.2,1.0,0.5044
0.1176,0.7838,0.3106,16,0.7614,0.2238,0.6928,2,20,1.8,3.5,0.576
0.3047,0.1332,0.3578,15,0.3943,0.6735,0.4279,1,16,1.5,2.0,0.9976
0.7498,0.4711,0.7913,1,0.8498,0.8058,0.4312,2,20,1.8,3.5,1.0
0.2126,0.5216,0.4544,7,0.2474,0.793,0.164,1,16,1.5,2.0,0.9877
0.8553,0.1851,0.4602,18,0.8931,0.7923,0.4314,2,20,1.8,3.5,0.9492
0.365,0.372,0.5038,3,0.2537,0.694,0.1022,3,18,1.6,2.5,0.2144
0.8796,0.6252,0.4775,42,0.4482,0.1854,0.4981,2,20,1.8,3.5,0.4837
0.3181,0.1423,0.6448,12,0.3678,0.49,0.844,1,16,1.5,2.0,0.6001
0.2604,0.5271,0.478,38,0.5645,0.5596,0.5843,0,12,1.2,1.0,0.6237
0.332,0.3627,0.7006,9,0.4184,0.5906,0.3797,2,20,1.8,3.5,0.4788
0.6821,0.1808,0.2337,14,0.122,0.4975,0.2447,0,12,1.2,1.0,0.6438
0.4862,0.1748,0.2035,18,0.5267,0.5693,0.3824,0,12,1.2,1.0,0.5399
0.8478,0.4246,0.4576,27,0.1476,0.6684,0.6318,1,16,1.5,2.0,0.9521
0.3149,0.5375,0.4261,3,0.4972,0.8058,0.2637,3,18,1.6,2.5,0.2565
0.3574,0.8476,0.5307,8,0.1608,0.4901,0.5636,2,20,1.8,3.5,0.5565
0.6886,0.4733,0.5368,21,0.6412,0.1825,0.505,1,16,1.5,2.0,1.0
0.2881,0.7948,0.731,17,0.1646,0.7115,0.8669,0,12,1.2,1.0,0.6008
0.2665,0.3874,0.7315,8,0.7046,0.2176,0.403,1,16,1.5,2.0,1.0
0.281,0.6614,0.7517,23,0.8584,0.855,0.1909,3,18,1.6,2.5,0.7222
0.4415,0.6462,0.6455,4,0.7399,0.4274,0.6254,0,12,1.2,1.0,0.5505
0.3769,0.6551,0.5251,42,0.7288,0.7947,0.7126,3,18,1.6,2.5,0.554
0.2253,0.6124,0.2494,2,0.7891,0.6805,0.5663,1,16,1.5,2.0,1.0
0.2386,0.8446,0.3275,44,0.212,0.849,0.4687,0,12,1.2,1.0,0.6241
0.4032,0.1218,0.24,26,0.5312,0.2548,0.4217,0,12,1.2,1.0,1.0
0.5261,0.8142,0.2259,30,0.2055,0.8412,0.834,1,16,1.5,2.0,1.0
0.1939,0.1879,0.2589,43,0.2246,0.2308,0.2189,0,12,1.2,1.0,1.0
0.3031,0.4337,0.7362,18,0.3292,0.8315,0.3573,1,16,1.5,2.0,1.0
0.5952,0.3254,0.512,43,0.5525,0.747,0.3758,3,18,1.6,2.5,0.1138
0.4157,0.4295,0.6296,35,0.3475,0.8435,0.3205,2,20,1.8,3.5,0.7074
0.1262,0.639,0.5721,33,0.7233,0.5727,0.5879,2,20,1.8,3.5,0.6026
0.2494,0.5249,0.6273,19,0.2756,0.2031,0.3102,1,16,1.5,2.0,0.6675
0.592,0.2374,0.4947,21,0.8488,0.6793,0.2387,0,12,1.2,1.0,0.6178
0.7825,0.5457,0.4136,32,0.4116,0.8291,0.7988,2,20,1.8,3.5,0.9766
0.642,0.7701,0.3267,27,0.4356,0.3462,0.8872,3,18,1.6,2.5,0.1305
0.3324,0.5238,0.5861,21,0.2675,0.5933,0.7778,2,20,1.8,3.5,0.6236
0.3354,0.8762,0.2076,15,0.3537,0.853,0.7888,3,18,1.6,2.5,0.5978
0.3015,0.7371,0.3996,11,0.8235,0.6764,0.6125,1,16,1.5,2.0,0.5948
0.5306,0.1988,0.245,20,0.5739,0.1049,0.4752,3,18,1.6,2.5,0.2288
0.2231,0.7553,0.2922,23,0.2861,0.67,0.2526,0,12,1.2,1.0,0.5289
0.8219,0.5521,0.3038,3,0.5097,0.7674,0.163,3,18,1.6,2.5,0.5465
0.1735,0.485,0.4324,14,0.3932,0.4393,0.405,1,16,1.5,2.0,0.9638
0.5553,0.7953,0.7964,35,0.429,0.2929,0.5535,0,12,1.2,1.0,0.5332
0.8022,0.8482,0.3951,28,0.528,0.6084,0.702,1,16,1.5,2.0,0.6776
0.1409,0.6426,0.4872,44,0.3413,0.2377,0.189,2,20,1.8,3.5,0.1513
0.4224,0.1663,0.3481,44,0.4852,0.7827,0.8563,3,18,1.6,2.5,0.2522
0.8546,0.3969,0.619,41,0.5917,0.6358,0.2064,1,16,1.5,2.0,0.567
0.2653,0.1954,0.5552,11,0.3061,0.1059,0.8766,2,20,1.8,3.5,0.0874
0.6215,0.1602,0.5721,26,0.1379,0.5189,0.2136,3,18,1.6,2.5,0.1696
0.5918,0.5954,0.5323,36,0.476,0.485,0.3676,2,20,1.8,3.5,0.6044
0.3125,0.8265,0.36,40,0.5033,0.6942,0.7217,1,16,1.5,2.0,0.8527
0.3424,0.2305,0.6902,2,0.8303,0.7867,0.3891,3,18,1.6,2.5,0.1778
0.6363,0.6195,0.3487,27,0.8986,0.2348,0.4029,2,20,1.8,3.5,0.6131
0.2708,0.7305,0.6244,12,0.7862,0.4406,0.5407,0,12,1.2,1.0,0.6443
0.7993,0.2815,0.5554,3,0.8091,0.7178,0.8315,2,20,1.8,3.5,0.9458
0.4404,0.3451,0.4983,7,0.494,0.1281,0.6367,3,18,1.6,2.5,0.2165
0.1782,0.6822,0.6986,16,0.5552,0.5377,0.1445,1,16,1.5,2.0,0.9279
0.1088,0.756,0.6489,17,0.3099,0.2521,0.8622,1,16,1.5,2.0,0.9405
0.7702,0.473,0.6869,42,0.3396,0.4443,0.4273,2,20,1.8,3.5,0.6771
0.2938,0.4186,0.5596,28,0.2135,0.6522,0.5211,0,12,1.2,1.0,0.4443
0.8263,0.4691,0.399,18,0.3585,0.319,0.7934,0,12,1.2,1.0,0.6168
0.4301,0.3088,0.2782,27,0.8033,0.4289,0.7999,2,20,1.8,3.5,0.471
0.587,0.1649,0.5379,6,0.6155,0.723,0.1758,2,20,1.8,3.5,0.5693
0.6545,0.5737,0.7697,40,0.4768,0.527,0.6278,3,18,1.6,2.5,0.1932
0.3914,0.1975,0.3437,33,0.5388,0.7884,0.8111,3,18,1.6,2.5,0.1584
0.7097,0.2329,0.3616,42,0.3408,0.4001,0.8491,2,20,1.8,3.5,0.47
0.1853,0.677,0.6763,26,0.6481,0.1766,0.7122,3,18,1.6,2.5,0.2194
0.4649,0.7084,0.5151,18,0.8453,0.2804,0.4525,3,18,1.6,2.5,0.325
0.3646,0.2785,0.5072,5,0.7331,0.2272,0.3193,0,12,1.2,1.0,0.522
0.3832,0.1616,0.7153,6,0.8394,0.1376,0.2381,1,16,1.5,2.0,0.9645
0.471,0.1476,0.228,29,0.3094,0.4287,0.8176,3,18,1.6,2.5,0.0
0.7164,0.4772,0.6171,9,0.2362,0.5581,0.8405,2,20,1.8,3.5,0.5565
0.4951,0.4329,0.6132,12,0.4816,0.1378,0.3116,2,20,1.8,3.5,0.5383
0.686,0.417,0.427,12,0.4456,0.6741,0.6362,1,16,1.5,2.0,1.0
0.2659,0.6932,0.3777,30,0.6117,0.1094,0.1784,0,12,1.2,1.0,0.5294
0.5851,0.2663,0.6855,28,0.3681,0.5118,0.72,1,16,1.5,2.0,0.968
0.2652,0.7108,0.5041,7,0.5134,0.3289,0.7089,3,18,1.6,2.5,0.2458
0.6797,0.5345,0.3054,4,0.1373,0.1654,0.4902,0,12,1.2,1.0,0.6972
0.207,0.2272,0.6884,26,0.7623,0.176,0.7695,0,12,1.2,1.0,1.0
0.2181,0.3704,0.3999,43,0.4017,0.6423,0.6844,0,12,1.2,1.0,0.5393
0.6774,0.3133,0.2255,39,0.3738,0.1287,0.1762,0,12,1.2,1.0,0.7173
0.8397,0.6086,0.7606,13,0.7945,0.2086,0.2896,0,12,1.2,1.0,0.2386
0.429,0.262,0.6436,5,0.3324,0.7398,0.2309,3,18,1.6,2.5,0.1587
0.232,0.2966,0.2302,14,0.3422,0.782,0.7844,0,12,1.2,1.0,0.7104
0.1784,0.1015,0.5394,39,0.2889,0.7376,0.8648,2,20,1.8,3.5,0.2835
0.8567,0.1834,0.4854,31,0.5675,0.1569,0.5035,0,12,1.2,1.0,0.5662
0.434,0.6504,0.4003,2,0.8772,0.8003,0.8976,2,20,1.8,3.5,0.9725
0.4953,0.7274,0.7574,31,0.8902,0.4531,0.7177,0,12,1.2,1.0,0.1795
0.3381,0.1871,0.2971,12,0.5431,0.4462,0.6009,2,20,1.8,3.5,0.6042
0.2131,0.3092,0.4591,11,0.822,0.8535,0.5272,1,16,1.5,2.0,1.0
0.7391,0.2455,0.4953,30,0.7998,0.8437,0.1783,3,18,1.6,2.5,0.4076
0.7153,0.2248,0.6614,18,0.8098,0.4341,0.3002,1,16,1.5,2.0,0.9605
0.6702,0.4704,0.7766,3,0.5696,0.389,0.7678,2,20,1.8,3.5,0.6319
0.5973,0.849,0.362,3,0.7486,0.1507,0.6779,3,18,1.6,2.5,0.115
0.5291,0.1889,0.2474,40,0.3929,0.597,0.5561,0,12,1.2,1.0,0.6179
0.4338,0.6447,0.7299,12,0.672,0.3339,0.8524,3,18,1.6,2.5,0.128
0.8582,0.5952,0.3998,24,0.3619,0.3807,0.4405,1,16,1.5,2.0,1.0
0.498,0.4235,0.5836,28,0.107,0.6839,0.366,1,16,1.5,2.0,0.807
0.528,0.2289,0.3668,14,0.8795,0.2951,0.4736,2,20,1.8,3.5,0.5751
0.6703,0.5176,0.64,24,0.3262,0.7685,0.3102,3,18,1.6,2.5,0.146
0.6093,0.5548,0.4784,37,0.2877,0.4985,0.5868,2,20,1.8,3.5,0.5903
0.4055,0.3779,0.6907,10,0.5643,0.8778,0.1241,1,16,1.5,2.0,0.9312
0.8402,0.6734,0.4259,20,0.5111,0.7271,0.4383,0,12,1.2,1.0,0.3558
0.3324,0.4961,0.2541,35,0.7888,0.2218,0.5877,2,20,1.8,3.5,0.5175
0.3827,0.1069,0.5198,34,0.2175,0.2874,0.281,3,18,1.6,2.5,0.0
0.2519,0.8613,0.6178,17,0.1032,0.4765,0.7475,2,20,1.8,3.5,0.6175
0.6906,0.6456,0.7577,39,0.7603,0.3083,0.546,1,16,1.5,2.0,0.7103
0.4542,0.1819,0.4605,6,0.4899,0.1165,0.4867,0,12,1.2,1.0,0.9979
0.1108,0.5982,0.3878,18,0.8087,0.7915,0.5029,2,20,1.8,3.5,0.5245
0.5266,0.4123,0.3771,12,0.8321,0.1493,0.3761,0,12,1.2,1.0,0.5582
0.1484,0.2382,0.4736,41,0.8155,0.6471,0.7416,2,20,1.8,3.5,0.5543
0.261,0.7799,0.4847,22,0.1051,0.4565,0.3711,3,18,1.6,2.5,0.237
0.6399,0.7596,0.7184,31,0.7493,0.7681,0.6549,3,18,1.6,2.5,0.5894
0.2769,0.8658,0.5019,26,0.4636,0.7586,0.654,1,16,1.5,2.0,1.0
0.4509,0.7041,0.6164,23,0.6943,0.6399,0.2955,0,12,1.2,1.0,0.1671
